id	userid	hits	z	trials	created_at	updated_at
1	65ebff3c8b	0	0.00	10	2021-10-21 05:14:01	2021-10-21 05:14:01
2	15d5ca6954	0	0.00	10	2021-10-23 18:16:29	2021-10-23 18:16:29
3	15d5ca6954	0	0.00	10	2021-10-23 18:22:29	2021-10-23 18:22:29
4	15d5ca6954	0	0.00	10	2021-10-23 18:25:27	2021-10-23 18:25:27
5	15d5ca6954	0	0.00	10	2021-10-24 17:41:49	2021-10-24 17:41:49
6	15d5ca6954	0	0.00	10	2021-10-25 18:01:57	2021-10-25 18:01:57
7	15d5ca6954	0	0.00	10	2021-10-26 18:06:49	2021-10-26 18:06:49
8	15d5ca6954	0	0.00	10	2021-10-27 17:42:31	2021-10-27 17:42:31
9	15d5ca6954	0	0.00	10	2021-10-28 18:00:40	2021-10-28 18:00:40
10	15d5ca6954	0	0.00	10	2021-10-29 17:44:47	2021-10-29 17:44:47
11	15d5ca6954	0	0.00	10	2021-10-30 17:39:28	2021-10-30 17:39:28
12	d25237016c	0	0.00	10	2021-11-04 06:41:00	2021-11-04 06:41:00
13	d25237016c	0	0.00	10	2021-11-04 06:45:46	2021-11-04 06:45:46
14	d25237016c	0	0.00	10	2021-11-04 06:52:35	2021-11-04 06:52:35
15	d25237016c	0	0.00	10	2021-11-04 07:06:56	2021-11-04 07:06:56
16	d25237016c	0	0.00	2	2021-11-04 07:11:07	2021-11-04 07:11:07
17	d25237016c	0	0.00	2	2021-11-05 19:00:12	2021-11-05 19:00:12
18	d25237016c	5	0.00	2	2021-11-06 03:28:36	2021-11-06 03:28:36
19	d25237016c	5	0.00	2	2021-11-06 03:29:04	2021-11-06 03:29:04
20	d25237016c	4	-0.63	2	2021-11-06 03:29:36	2021-11-06 03:29:36
21	d25237016c	4	-0.63	2	2021-11-06 03:31:27	2021-11-06 03:31:27
22	d25237016c	3	-1.26	2	2021-11-06 03:31:46	2021-11-06 03:31:46
23	d25237016c	6	0.63	2	2021-11-06 03:32:14	2021-11-06 03:32:14
24	37905b9b4f	7	1.26	2	2021-11-19 20:59:49	2021-11-19 20:59:49
25	0bef4c2cf2	6	0.63	2	2021-11-19 22:08:02	2021-11-19 22:08:02
26	0bef4c2cf2	4	-0.63	2	2021-11-19 22:13:22	2021-11-19 22:13:22
27	0bef4c2cf2	6	0.63	2	2021-11-19 22:13:33	2021-11-19 22:13:33
28	37905b9b4f	7	1.26	2	2021-11-19 23:26:34	2021-11-19 23:26:34
29	37905b9b4f	6	0.63	2	2021-11-19 23:28:50	2021-11-19 23:28:50
30	37905b9b4f	4	-0.63	2	2021-11-19 23:30:28	2021-11-19 23:30:28
31	f6f39885f8	5	0.00	2	2021-11-20 01:43:09	2021-11-20 01:43:09
32	f6f39885f8	9	2.53	2	2021-11-20 01:43:40	2021-11-20 01:43:40
33	dc741884f5	4	-0.63	2	2021-11-20 03:56:51	2021-11-20 03:56:51
34	dc741884f5	2	-1.90	2	2021-11-20 03:58:27	2021-11-20 03:58:27
35	dc741884f5	7	1.26	2	2021-11-20 04:00:14	2021-11-20 04:00:14
36	dc741884f5	8	1.90	2	2021-11-20 04:01:41	2021-11-20 04:01:41
37	dc741884f5	2	-1.90	2	2021-11-20 04:03:19	2021-11-20 04:03:19
38	dc741884f5	6	0.63	2	2021-11-20 04:04:37	2021-11-20 04:04:37
39	37905b9b4f	5	0.00	2	2021-11-20 15:55:18	2021-11-20 15:55:18
40	37905b9b4f	4	-0.63	2	2021-11-20 15:57:09	2021-11-20 15:57:09
41	37905b9b4f	7	1.26	2	2021-11-20 16:00:43	2021-11-20 16:00:43
42	37905b9b4f	6	0.63	2	2021-11-20 16:03:06	2021-11-20 16:03:06
43	37905b9b4f	4	-0.63	2	2021-11-20 16:42:04	2021-11-20 16:42:04
44	37905b9b4f	3	-1.26	2	2021-11-20 20:30:26	2021-11-20 20:30:26
45	37905b9b4f	6	0.63	2	2021-11-20 20:33:08	2021-11-20 20:33:08
46	37905b9b4f	5	0.00	2	2021-11-20 22:16:26	2021-11-20 22:16:26
47	37905b9b4f	4	-0.63	2	2021-11-20 22:18:12	2021-11-20 22:18:12
48	6878a50402	7	1.26	2	2021-11-20 22:44:15	2021-11-20 22:44:15
49	6878a50402	6	0.63	2	2021-11-20 22:44:42	2021-11-20 22:44:42
50	6878a50402	4	-0.63	2	2021-11-20 22:51:29	2021-11-20 22:51:29
51	6878a50402	5	0.00	2	2021-11-20 22:51:45	2021-11-20 22:51:45
52	6878a50402	6	0.63	2	2021-11-20 22:54:49	2021-11-20 22:54:49
53	6878a50402	4	-0.63	2	2021-11-20 22:59:01	2021-11-20 22:59:01
54	6878a50402	6	0.63	2	2021-11-20 22:59:15	2021-11-20 22:59:15
55	6878a50402	5	0.00	2	2021-11-20 22:59:36	2021-11-20 22:59:36
56	6878a50402	5	0.00	2	2021-11-20 22:59:51	2021-11-20 22:59:51
57	6878a50402	6	0.63	2	2021-11-20 23:00:10	2021-11-20 23:00:10
58	6878a50402	4	-0.63	2	2021-11-20 23:00:24	2021-11-20 23:00:24
59	6878a50402	7	1.26	2	2021-11-20 23:00:38	2021-11-20 23:00:38
