id	userid	hits	z	trials	created_at	updated_at
1	bf0acaa2bf	20	-1.41	10	2023-04-25 03:22:10	2023-04-25 03:22:10
2	38be251aec	19	-1.70	10	2023-05-03 20:03:05	2023-05-03 20:03:05
3	1f455fc030	24	-0.28	10	2023-05-04 09:22:38	2023-05-04 09:22:38
4	1f455fc030	19	-1.70	10	2023-05-04 09:23:36	2023-05-04 09:23:36
5	6fd33b7588	21	-1.13	10	2023-05-05 01:56:14	2023-05-05 01:56:14
6	7d2fc7d93b	21	-1.13	10	2023-05-09 03:33:50	2023-05-09 03:33:50
7	fbf3589622	18	-1.98	10	2023-05-13 05:36:42	2023-05-13 05:36:42
8	3e86ab4470	19	-1.70	10	2023-05-13 13:06:36	2023-05-13 13:06:36
9	cfa64fd443	23	-0.57	10	2023-05-13 15:26:39	2023-05-13 15:26:39
10	551ffb1b22	22	-0.85	10	2023-05-13 15:59:16	2023-05-13 15:59:16
11	891172471b	19	-1.70	10	2023-05-13 20:49:19	2023-05-13 20:49:19
12	891172471b	21	-1.13	10	2023-05-13 20:51:37	2023-05-13 20:51:37
13	0784015328	23	-0.57	10	2023-05-13 21:08:56	2023-05-13 21:08:56
14	fff8c30e58	18	-1.98	10	2023-05-14 15:37:46	2023-05-14 15:37:46
15	52946e67cb	23	-0.57	10	2023-05-14 16:24:14	2023-05-14 16:24:14
16	52946e67cb	25	0.00	10	2023-05-14 16:58:41	2023-05-14 16:58:41
17	33ddebe4c7	24	-0.28	10	2023-05-14 17:47:48	2023-05-14 17:47:48
18	891172471b	24	-0.28	10	2023-05-14 19:27:21	2023-05-14 19:27:21
19	52946e67cb	20	-1.41	10	2023-05-15 09:17:26	2023-05-15 09:17:26
20	52946e67cb	24	-0.28	10	2023-05-15 09:21:00	2023-05-15 09:21:00
21	52946e67cb	16	-2.55	10	2023-05-15 09:24:08	2023-05-15 09:24:08
22	52946e67cb	29	1.13	10	2023-05-15 09:27:22	2023-05-15 09:27:22
23	52946e67cb	23	-0.57	10	2023-05-15 09:30:37	2023-05-15 09:30:37
24	52946e67cb	19	-1.70	10	2023-05-15 09:33:09	2023-05-15 09:33:09
25	52946e67cb	26	0.28	10	2023-05-15 09:36:05	2023-05-15 09:36:05
26	52946e67cb	23	-0.57	10	2023-05-15 09:38:58	2023-05-15 09:38:58
27	52946e67cb	26	0.28	10	2023-05-15 09:41:14	2023-05-15 09:41:14
28	52946e67cb	28	0.85	10	2023-05-15 09:44:57	2023-05-15 09:44:57
29	fff8c30e58	27	0.57	10	2023-05-16 14:35:37	2023-05-16 14:35:37
30	52946e67cb	26	0.28	10	2023-05-16 15:37:15	2023-05-16 15:37:15
31	52946e67cb	25	0.00	10	2023-05-16 15:39:20	2023-05-16 15:39:20
32	52946e67cb	21	-1.13	10	2023-05-16 15:41:36	2023-05-16 15:41:36
33	52946e67cb	20	-1.41	10	2023-05-16 15:43:24	2023-05-16 15:43:24
34	52946e67cb	24	-0.28	10	2023-05-16 15:45:04	2023-05-16 15:45:04
35	52946e67cb	23	-0.57	10	2023-05-16 15:47:28	2023-05-16 15:47:28
36	52946e67cb	22	-0.85	10	2023-05-16 15:51:50	2023-05-16 15:51:50
37	52946e67cb	26	0.28	10	2023-05-16 15:53:37	2023-05-16 15:53:37
38	dc8b1e36ff	16	-2.55	10	2023-05-16 18:01:45	2023-05-16 18:01:45
39	283f666c49	16	-2.55	10	2023-05-16 21:45:19	2023-05-16 21:45:19
40	891172471b	22	-0.85	10	2023-05-16 22:55:40	2023-05-16 22:55:40
41	52946e67cb	28	0.85	10	2023-05-17 12:11:47	2023-05-17 12:11:47
42	52946e67cb	23	-0.57	10	2023-05-17 12:13:18	2023-05-17 12:13:18
43	52946e67cb	22	-0.85	10	2023-05-17 12:14:48	2023-05-17 12:14:48
44	52946e67cb	24	-0.28	10	2023-05-17 12:16:11	2023-05-17 12:16:11
45	52946e67cb	22	-0.85	10	2023-05-17 12:17:30	2023-05-17 12:17:30
46	52946e67cb	21	-1.13	10	2023-05-17 12:18:47	2023-05-17 12:18:47
47	52946e67cb	15	-2.83	10	2023-05-17 12:20:05	2023-05-17 12:20:05
48	52946e67cb	19	-1.70	10	2023-05-17 12:21:30	2023-05-17 12:21:30
49	52946e67cb	23	-0.57	10	2023-05-17 12:23:01	2023-05-17 12:23:01
50	52946e67cb	30	1.41	10	2023-05-17 12:24:23	2023-05-17 12:24:23
51	52946e67cb	24	-0.28	10	2023-05-17 13:08:17	2023-05-17 13:08:17
52	52946e67cb	22	-0.85	10	2023-05-17 13:10:37	2023-05-17 13:10:37
53	52946e67cb	21	-1.13	10	2023-05-17 13:12:45	2023-05-17 13:12:45
54	52946e67cb	23	-0.57	10	2023-05-17 13:14:53	2023-05-17 13:14:53
55	52946e67cb	26	0.28	10	2023-05-17 13:16:51	2023-05-17 13:16:51
56	52946e67cb	28	0.85	10	2023-05-17 13:18:47	2023-05-17 13:18:47
57	52946e67cb	21	-1.13	10	2023-05-17 13:20:46	2023-05-17 13:20:46
58	52946e67cb	16	-2.55	10	2023-05-17 13:22:48	2023-05-17 13:22:48
59	52946e67cb	27	0.57	10	2023-05-17 13:24:53	2023-05-17 13:24:53
60	52946e67cb	23	-0.57	10	2023-05-17 13:29:20	2023-05-17 13:29:20
