id	userid	hits	z	trials	created_at	updated_at
1	bf0acaa2bf	2	0.00	10	2023-04-25 03:21:02	2023-04-25 03:21:02
2	38be251aec	0	-1.58	10	2023-05-03 19:57:16	2023-05-03 19:57:16
3	1f455fc030	1	-0.79	10	2023-05-04 09:08:03	2023-05-04 09:08:03
4	1f455fc030	3	0.79	10	2023-05-04 09:08:40	2023-05-04 09:08:40
5	1f455fc030	3	0.79	10	2023-05-04 09:09:02	2023-05-04 09:09:02
6	6fd33b7588	2	0.00	10	2023-05-05 01:38:05	2023-05-05 01:38:05
7	6fd33b7588	2	0.00	10	2023-05-08 20:35:41	2023-05-08 20:35:41
8	7d2fc7d93b	1	-0.79	10	2023-05-09 03:30:10	2023-05-09 03:30:10
9	fbf3589622	3	0.79	10	2023-05-13 05:23:24	2023-05-13 05:23:24
10	fbf3589622	2	0.00	10	2023-05-13 05:25:39	2023-05-13 05:25:39
11	3e86ab4470	2	0.00	10	2023-05-13 13:03:57	2023-05-13 13:03:57
12	cfa64fd443	3	0.79	10	2023-05-13 15:09:13	2023-05-13 15:09:13
13	551ffb1b22	1	-0.79	10	2023-05-13 15:54:37	2023-05-13 15:54:37
14	551ffb1b22	3	0.60	11	2023-05-13 15:55:22	2023-05-13 15:55:22
15	891172471b	1	-0.79	10	2023-05-13 20:54:17	2023-05-13 20:54:17
16	0784015328	2	0.00	10	2023-05-13 20:59:27	2023-05-13 20:59:27
17	33ddebe4c7	1	-0.79	10	2023-05-14 10:59:21	2023-05-14 10:59:21
18	33ddebe4c7	1	-0.79	10	2023-05-14 11:00:48	2023-05-14 11:00:48
19	fff8c30e58	0	-1.58	10	2023-05-14 15:31:28	2023-05-14 15:31:28
20	fff8c30e58	1	-0.79	10	2023-05-14 15:31:41	2023-05-14 15:31:41
21	52946e67cb	2	0.00	10	2023-05-14 16:30:06	2023-05-14 16:30:06
22	52946e67cb	1	-0.79	10	2023-05-14 16:41:09	2023-05-14 16:41:09
23	52946e67cb	0	-1.58	10	2023-05-14 16:41:48	2023-05-14 16:41:48
24	52946e67cb	4	1.58	10	2023-05-14 16:42:24	2023-05-14 16:42:24
25	52946e67cb	3	0.79	10	2023-05-14 16:43:06	2023-05-14 16:43:06
26	52946e67cb	1	-0.79	10	2023-05-14 16:43:50	2023-05-14 16:43:50
27	52946e67cb	3	0.79	10	2023-05-14 18:07:55	2023-05-14 18:07:55
28	52946e67cb	0	-1.58	10	2023-05-14 18:10:17	2023-05-14 18:10:17
29	52946e67cb	2	0.00	10	2023-05-14 18:11:47	2023-05-14 18:11:47
30	52946e67cb	3	0.79	10	2023-05-14 18:13:50	2023-05-14 18:13:50
31	52946e67cb	2	0.00	10	2023-05-14 18:15:48	2023-05-14 18:15:48
32	52946e67cb	1	-0.79	10	2023-05-14 18:16:25	2023-05-14 18:16:25
33	52946e67cb	0	-1.58	10	2023-05-15 08:41:24	2023-05-15 08:41:24
34	52946e67cb	2	0.00	10	2023-05-15 08:42:38	2023-05-15 08:42:38
35	52946e67cb	3	0.79	10	2023-05-15 08:43:49	2023-05-15 08:43:49
36	52946e67cb	2	0.00	10	2023-05-15 08:44:54	2023-05-15 08:44:54
37	52946e67cb	1	-0.79	10	2023-05-15 08:46:22	2023-05-15 08:46:22
38	52946e67cb	1	-0.79	10	2023-05-15 08:47:11	2023-05-15 08:47:11
39	52946e67cb	3	0.79	10	2023-05-15 08:48:05	2023-05-15 08:48:05
40	52946e67cb	2	0.00	10	2023-05-15 09:04:07	2023-05-15 09:04:07
41	891172471b	1	-0.79	10	2023-05-15 20:33:31	2023-05-15 20:33:31
42	891172471b	4	1.58	10	2023-05-15 20:34:40	2023-05-15 20:34:40
43	fff8c30e58	4	1.58	10	2023-05-16 14:38:27	2023-05-16 14:38:27
44	52946e67cb	3	0.79	10	2023-05-16 16:02:41	2023-05-16 16:02:41
45	52946e67cb	1	-0.79	10	2023-05-16 16:03:43	2023-05-16 16:03:43
46	52946e67cb	3	0.79	10	2023-05-16 16:04:15	2023-05-16 16:04:15
47	52946e67cb	5	2.37	10	2023-05-16 16:04:46	2023-05-16 16:04:46
48	52946e67cb	1	-0.79	10	2023-05-16 16:05:32	2023-05-16 16:05:32
49	52946e67cb	2	0.00	10	2023-05-16 16:06:00	2023-05-16 16:06:00
50	52946e67cb	2	0.00	10	2023-05-16 16:06:28	2023-05-16 16:06:28
51	52946e67cb	5	2.37	10	2023-05-16 16:06:56	2023-05-16 16:06:56
52	52946e67cb	0	-1.58	10	2023-05-16 16:07:26	2023-05-16 16:07:26
53	52946e67cb	3	0.79	10	2023-05-16 16:07:55	2023-05-16 16:07:55
54	52946e67cb	1	-0.79	10	2023-05-16 16:08:21	2023-05-16 16:08:21
55	52946e67cb	4	1.58	10	2023-05-16 16:08:50	2023-05-16 16:08:50
56	52946e67cb	3	0.79	10	2023-05-16 16:09:17	2023-05-16 16:09:17
57	52946e67cb	3	0.79	10	2023-05-16 16:09:48	2023-05-16 16:09:48
58	52946e67cb	0	-1.58	10	2023-05-16 16:10:12	2023-05-16 16:10:12
59	52946e67cb	2	0.00	10	2023-05-16 16:10:44	2023-05-16 16:10:44
60	52946e67cb	4	1.58	10	2023-05-16 16:11:14	2023-05-16 16:11:14
61	52946e67cb	2	0.00	10	2023-05-16 16:22:15	2023-05-16 16:22:15
62	52946e67cb	2	0.00	10	2023-05-16 16:22:41	2023-05-16 16:22:41
63	52946e67cb	0	-1.58	10	2023-05-16 16:23:05	2023-05-16 16:23:05
64	52946e67cb	2	0.00	10	2023-05-16 16:23:30	2023-05-16 16:23:30
65	52946e67cb	2	0.00	10	2023-05-16 16:23:56	2023-05-16 16:23:56
66	52946e67cb	4	1.58	10	2023-05-16 16:24:16	2023-05-16 16:24:16
67	52946e67cb	3	0.79	10	2023-05-16 16:24:41	2023-05-16 16:24:41
68	52946e67cb	1	-0.79	10	2023-05-16 16:25:04	2023-05-16 16:25:04
69	52946e67cb	3	0.79	10	2023-05-16 16:25:35	2023-05-16 16:25:35
70	52946e67cb	2	0.00	10	2023-05-16 16:25:57	2023-05-16 16:25:57
71	52946e67cb	2	0.00	10	2023-05-16 16:26:22	2023-05-16 16:26:22
72	52946e67cb	2	0.00	10	2023-05-16 16:26:44	2023-05-16 16:26:44
73	52946e67cb	1	-0.79	10	2023-05-16 16:27:11	2023-05-16 16:27:11
74	52946e67cb	1	-0.79	10	2023-05-16 16:27:34	2023-05-16 16:27:34
75	52946e67cb	3	0.79	10	2023-05-16 16:27:59	2023-05-16 16:27:59
76	52946e67cb	1	-0.90	11	2023-05-16 16:28:51	2023-05-16 16:28:51
77	52946e67cb	0	-1.58	10	2023-05-16 16:29:17	2023-05-16 16:29:17
78	52946e67cb	0	-1.58	10	2023-05-16 16:29:44	2023-05-16 16:29:44
79	52946e67cb	3	0.79	10	2023-05-16 16:30:43	2023-05-16 16:30:43
80	52946e67cb	0	-1.58	10	2023-05-16 16:31:07	2023-05-16 16:31:07
81	52946e67cb	1	-0.79	10	2023-05-16 16:31:36	2023-05-16 16:31:36
82	52946e67cb	2	0.00	10	2023-05-16 16:32:02	2023-05-16 16:32:02
83	52946e67cb	3	0.79	10	2023-05-16 16:32:27	2023-05-16 16:32:27
84	52946e67cb	2	0.00	10	2023-05-16 16:32:51	2023-05-16 16:32:51
85	52946e67cb	2	0.00	10	2023-05-16 16:33:20	2023-05-16 16:33:20
