id	userid	z	trials	created_at	updated_at
1	bf0acaa2bf	0.19	20	2023-04-25 03:19:51	2023-04-25 03:19:51
2	38be251aec	0.56	20	2023-05-03 19:56:10	2023-05-03 19:56:10
3	1f455fc030	0.13	20	2023-05-04 09:15:24	2023-05-04 09:15:24
4	6fd33b7588	-0.09	20	2023-05-05 01:31:27	2023-05-05 01:31:27
5	6fd33b7588	0.32	20	2023-05-08 20:22:36	2023-05-08 20:22:36
6	7d2fc7d93b	1.75	20	2023-05-09 03:35:22	2023-05-09 03:35:22
7	476599a230	-0.49	20	2023-05-13 03:17:10	2023-05-13 03:17:10
8	2e46b02c1c	1.08	20	2023-05-13 04:59:55	2023-05-13 04:59:55
9	fbf3589622	0.84	20	2023-05-13 05:15:06	2023-05-13 05:15:06
10	fbf3589622	1.20	20	2023-05-13 05:20:18	2023-05-13 05:20:18
11	5b84771544	2.66	20	2023-05-13 06:51:46	2023-05-13 06:51:46
12	5b84771544	1.18	20	2023-05-13 07:22:20	2023-05-13 07:22:20
13	3e86ab4470	1.32	20	2023-05-13 13:02:20	2023-05-13 13:02:20
14	cfa64fd443	1.47	20	2023-05-13 14:43:55	2023-05-13 14:43:55
15	551ffb1b22	1.12	20	2023-05-13 15:21:05	2023-05-13 15:21:05
16	551ffb1b22	1.29	20	2023-05-13 16:07:42	2023-05-13 16:07:42
17	891172471b	-1.05	20	2023-05-13 20:42:44	2023-05-13 20:42:44
18	0784015328	0.62	20	2023-05-13 20:51:08	2023-05-13 20:51:08
19	eb1f2db343	3.09	20	2023-05-14 00:53:41	2023-05-14 00:53:41
20	551ffb1b22	1.27	20	2023-05-14 14:32:31	2023-05-14 14:32:31
21	fff8c30e58	2.32	20	2023-05-14 15:32:35	2023-05-14 15:32:35
22	52946e67cb	1.05	20	2023-05-14 16:36:11	2023-05-14 16:36:11
23	52946e67cb	1.30	20	2023-05-14 17:09:24	2023-05-14 17:09:24
24	52946e67cb	2.95	20	2023-05-14 17:11:22	2023-05-14 17:11:22
25	891172471b	0.93	20	2023-05-14 18:25:38	2023-05-14 18:25:38
26	891172471b	-0.81	20	2023-05-14 19:35:37	2023-05-14 19:35:37
27	c747db03a2	-1.39	20	2023-05-14 20:40:52	2023-05-14 20:40:52
28	52946e67cb	0.17	20	2023-05-15 09:55:12	2023-05-15 09:55:12
29	52946e67cb	-0.04	20	2023-05-15 09:56:36	2023-05-15 09:56:36
30	52946e67cb	1.94	20	2023-05-15 09:58:01	2023-05-15 09:58:01
31	52946e67cb	1.04	20	2023-05-15 09:59:09	2023-05-15 09:59:09
32	52946e67cb	2.14	20	2023-05-15 10:00:16	2023-05-15 10:00:16
33	52946e67cb	0.19	20	2023-05-15 10:54:09	2023-05-15 10:54:09
