id,userid,z,trials,created_at,updated_at
45,00d06796e4,-1,20,17-May-2023 03:08:05,25-Apr-2023 03:19:51
99,00d06796e4,-1,20,17-May-2023 22:44:27,25-Apr-2023 03:19:51
168,036851a55f,0,20,24-May-2023 18:56:56,03-May-2023 19:56:10
172,03bbe154e3,0.6,20,25-May-2023 01:32:26,04-May-2023 09:15:24
173,03bbe154e3,0.6,20,25-May-2023 02:00:17,05-May-2023 01:31:27
175,03bbe154e3,0.6,20,25-May-2023 10:08:29,08-May-2023 20:22:36
359,058e038d81,-0.4,20,09-Jun-2023 05:12:44,09-May-2023 03:35:22
18,0784015328,0.4,20,13-May-2023 20:51:08,13-May-2023 03:17:10
236,07d6265486,-0.6,20,02-Jun-2023 00:42:34,13-May-2023 04:59:55
237,07d6265486,-4.96506830649455e-17,20,02-Jun-2023 01:34:21,13-May-2023 05:15:06
248,07d6265486,1.2,20,02-Jun-2023 12:06:15,13-May-2023 05:20:18
249,07d6265486,1.2,20,02-Jun-2023 12:21:07,13-May-2023 06:51:46
270,07d6265486,2.4,20,02-Jun-2023 16:08:16,13-May-2023 07:22:20
271,07d6265486,-1.2,20,02-Jun-2023 16:58:42,13-May-2023 13:02:20
281,07d6265486,0.2,20,02-Jun-2023 18:14:17,13-May-2023 14:43:55
282,07d6265486,0.2,20,02-Jun-2023 22:54:48,13-May-2023 15:21:05
284,07d6265486,-0.4,20,03-Jun-2023 01:21:08,13-May-2023 16:07:42
290,07d6265486,0.8,20,03-Jun-2023 14:24:10,13-May-2023 20:42:44
292,07d6265486,-0.2,20,03-Jun-2023 15:32:12,13-May-2023 20:51:08
308,07d6265486,0.8,20,04-Jun-2023 01:37:10,14-May-2023 00:53:41
319,07d6265486,-0.2,20,04-Jun-2023 21:03:43,14-May-2023 14:32:31
322,07d6265486,-1.2,20,05-Jun-2023 02:23:41,14-May-2023 15:32:35
328,07d6265486,-0.8,20,05-Jun-2023 15:38:13,14-May-2023 16:36:11
329,07d6265486,-0.2,20,05-Jun-2023 16:56:58,14-May-2023 17:09:24
341,07d6265486,2.4,20,07-Jun-2023 02:11:24,14-May-2023 17:11:22
362,0a2441f8cb,0.4,20,09-Jun-2023 07:30:43,14-May-2023 18:25:38
227,0dd2d9fdd1,-1.4,20,01-Jun-2023 23:44:43,14-May-2023 19:35:37
228,0dd2d9fdd1,-0.8,20,01-Jun-2023 23:45:30,14-May-2023 20:40:52
355,0eba3300a3,-1.4,20,09-Jun-2023 02:19:27,15-May-2023 09:55:12
356,0eba3300a3,1.6,20,09-Jun-2023 02:43:44,15-May-2023 09:56:36
400,0f90e85205,2,20,09-Jun-2023 23:38:14,15-May-2023 09:58:01
285,1309e0c93b,-0.6,20,03-Jun-2023 01:36:26,15-May-2023 09:59:09
306,1309e0c93b,1,20,03-Jun-2023 21:32:02,15-May-2023 10:00:16
340,1309e0c93b,0.8,20,06-Jun-2023 23:51:23,15-May-2023 10:54:09
458,1309e0c93b,9.93013661298909e-17,20,12-Jun-2023 20:48:49,15-May-2023 10:54:55
459,1309e0c93b,-1.4,20,12-Jun-2023 20:54:56,15-May-2023 10:55:44
460,1309e0c93b,0.8,20,12-Jun-2023 20:55:50,15-May-2023 10:56:29
461,1309e0c93b,-0.2,20,12-Jun-2023 20:56:39,15-May-2023 20:16:16
462,1309e0c93b,-1,20,12-Jun-2023 20:57:24,16-May-2023 00:06:11
463,1309e0c93b,-0.4,20,12-Jun-2023 20:58:09,16-May-2023 12:43:31
464,1309e0c93b,-2,20,12-Jun-2023 20:58:51,16-May-2023 14:42:41
465,1309e0c93b,0.2,20,12-Jun-2023 20:59:36,16-May-2023 17:55:07
466,1309e0c93b,1,20,12-Jun-2023 21:00:16,16-May-2023 20:00:30
