id	userid	num_correct	mega	z	trials	created_at	updated_at
1	bf0acaa2bf	1	0	0.14	1	2023-04-25 03:22:26	2023-04-25 03:22:26
2	38be251aec	0	0	-6.36	1	2023-05-03 19:54:37	2023-05-03 19:54:37
3	1f455fc030	1	0	0.14	1	2023-05-04 09:17:42	2023-05-04 09:17:42
4	1f455fc030	0	0	-6.36	1	2023-05-04 09:18:16	2023-05-04 09:18:16
5	6fd33b7588	1	0	0.14	1	2023-05-05 01:39:31	2023-05-05 01:39:31
6	6fd33b7588	1	0	0.14	1	2023-05-08 20:25:07	2023-05-08 20:25:07
7	7d2fc7d93b	1	0	0.14	1	2023-05-09 03:30:50	2023-05-09 03:30:50
8	fbf3589622	1	0	0.14	1	2023-05-13 05:06:14	2023-05-13 05:06:14
9	fbf3589622	0	0	-6.36	1	2023-05-13 05:07:49	2023-05-13 05:07:49
10	3e86ab4470	0	0	-6.36	1	2023-05-13 13:07:14	2023-05-13 13:07:14
11	cfa64fd443	2	0	1.40	1	2023-05-13 15:21:42	2023-05-13 15:21:42
12	551ffb1b22	2	0	1.40	1	2023-05-13 16:00:13	2023-05-13 16:00:13
13	891172471b	1	0	0.14	1	2023-05-13 20:52:31	2023-05-13 20:52:31
14	891172471b	0	0	-6.36	1	2023-05-13 20:53:01	2023-05-13 20:53:01
15	0784015328	0	0	-6.36	1	2023-05-13 21:10:58	2023-05-13 21:10:58
16	33ddebe4c7	0	0	-6.36	1	2023-05-14 10:51:29	2023-05-14 10:51:29
17	33ddebe4c7	0	0	-6.36	1	2023-05-14 10:52:23	2023-05-14 10:52:23
18	33ddebe4c7	0	0	-6.36	1	2023-05-14 10:53:25	2023-05-14 10:53:25
19	33ddebe4c7	1	0	0.14	1	2023-05-14 10:54:07	2023-05-14 10:54:07
20	33ddebe4c7	1	0	0.14	1	2023-05-14 10:55:00	2023-05-14 10:55:00
21	33ddebe4c7	0	0	-6.36	1	2023-05-14 10:55:33	2023-05-14 10:55:33
22	fff8c30e58	0	0	-6.36	1	2023-05-14 15:40:09	2023-05-14 15:40:09
23	fff8c30e58	0	0	-6.36	1	2023-05-14 15:40:29	2023-05-14 15:40:29
24	fff8c30e58	0	0	-6.36	1	2023-05-14 15:40:42	2023-05-14 15:40:42
25	fff8c30e58	1	0	0.14	1	2023-05-14 15:40:55	2023-05-14 15:40:55
26	fff8c30e58	1	0	0.14	1	2023-05-14 15:41:06	2023-05-14 15:41:06
27	52946e67cb	1	0	0.14	1	2023-05-14 16:13:13	2023-05-14 16:13:13
28	52946e67cb	0	0	-6.36	1	2023-05-14 16:37:30	2023-05-14 16:37:30
29	52946e67cb	2	0	1.40	1	2023-05-14 16:37:46	2023-05-14 16:37:46
30	52946e67cb	1	0	0.14	1	2023-05-14 16:38:19	2023-05-14 16:38:19
31	52946e67cb	1	1	2.10	1	2023-05-14 16:38:35	2023-05-14 16:38:35
32	52946e67cb	0	0	-6.36	1	2023-05-14 16:39:04	2023-05-14 16:39:04
33	52946e67cb	1	0	0.14	1	2023-05-14 17:53:55	2023-05-14 17:53:55
34	52946e67cb	1	0	0.14	1	2023-05-14 17:54:15	2023-05-14 17:54:15
35	52946e67cb	0	0	-6.36	1	2023-05-14 17:54:44	2023-05-14 17:54:44
36	52946e67cb	1	0	0.14	1	2023-05-14 17:55:28	2023-05-14 17:55:28
37	52946e67cb	0	0	-6.36	1	2023-05-14 17:55:41	2023-05-14 17:55:41
38	52946e67cb	0	0	-6.36	1	2023-05-14 17:55:54	2023-05-14 17:55:54
39	52946e67cb	0	0	-6.36	1	2023-05-14 17:56:10	2023-05-14 17:56:10
40	52946e67cb	1	0	0.14	1	2023-05-14 17:56:24	2023-05-14 17:56:24
41	52946e67cb	0	0	-6.36	1	2023-05-14 17:56:43	2023-05-14 17:56:43
42	52946e67cb	0	0	-6.36	1	2023-05-14 17:57:03	2023-05-14 17:57:03
43	52946e67cb	0	0	-6.36	1	2023-05-14 17:57:44	2023-05-14 17:57:44
44	52946e67cb	0	0	-6.36	1	2023-05-14 17:58:05	2023-05-14 17:58:05
45	52946e67cb	0	0	-6.36	1	2023-05-14 17:58:18	2023-05-14 17:58:18
46	52946e67cb	2	0	1.40	1	2023-05-14 17:58:32	2023-05-14 17:58:32
47	52946e67cb	1	0	0.14	1	2023-05-14 17:59:47	2023-05-14 17:59:47
48	52946e67cb	0	0	-6.36	1	2023-05-14 18:00:05	2023-05-14 18:00:05
49	52946e67cb	0	0	-6.36	1	2023-05-14 18:00:42	2023-05-14 18:00:42
50	52946e67cb	0	0	-6.36	1	2023-05-14 18:00:59	2023-05-14 18:00:59
51	52946e67cb	1	0	0.14	1	2023-05-14 18:01:15	2023-05-14 18:01:15
52	52946e67cb	1	0	0.14	1	2023-05-14 18:01:30	2023-05-14 18:01:30
53	52946e67cb	1	0	0.14	1	2023-05-14 18:01:45	2023-05-14 18:01:45
54	52946e67cb	0	0	-6.36	1	2023-05-14 18:01:57	2023-05-14 18:01:57
55	52946e67cb	0	0	-6.36	1	2023-05-14 18:02:29	2023-05-14 18:02:29
56	52946e67cb	0	0	-6.36	1	2023-05-14 18:02:41	2023-05-14 18:02:41
57	891172471b	1	0	0.14	1	2023-05-14 19:32:39	2023-05-14 19:32:39
58	891172471b	1	0	0.14	1	2023-05-14 19:32:56	2023-05-14 19:32:56
59	891172471b	0	0	-6.36	1	2023-05-14 19:33:10	2023-05-14 19:33:10
60	891172471b	0	0	-6.36	1	2023-05-14 19:33:24	2023-05-14 19:33:24
61	52946e67cb	1	0	0.14	1	2023-05-15 08:05:25	2023-05-15 08:05:25
62	52946e67cb	1	0	0.14	1	2023-05-15 08:05:51	2023-05-15 08:05:51
63	52946e67cb	2	0	1.40	1	2023-05-15 08:06:27	2023-05-15 08:06:27
64	fff8c30e58	0	0	-6.36	1	2023-05-16 14:43:32	2023-05-16 14:43:32
