recordid	userid	session	trialNum	task	imgname	srounded	sangular	slinear	smovement	spoints	ssoft	srepeated	water	people	plants	food	animals	temperature	scenetype	movement	location	keywords	timetorespond	score	z	trials	timestamp	created_at	updated_at
1	bf0acaa2bf	1	1	gotpsi	p1041	0.00	0.00	0.00	NULL	1.00	1.00	1.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	a,v,c,,	15	0	-1.64	1	2023-04-25 03:18:38	2023-04-25 03:18:38	2023-04-25 03:18:38
2	bf0acaa2bf	1	1	gotpsi	p46042	0.00	0.00	0.00	NULL	1.00	1.00	1.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	a,d,e,,	16	0	-1.03	1	2023-04-25 03:18:55	2023-04-25 03:18:55	2023-04-25 03:18:55
3	38be251aec	1	1	GotPsi	p31001	0.00	1.00	0.00	NULL	1.00	0.00	0.00	2.00	4.00	3.00	2.00	4.00	2.00	4.00	4.00	2.00	Wet,Empty,Long,,	48	0	-1.52	1	2023-05-03 20:46:41	2023-05-03 20:46:41	2023-05-03 20:46:41
4	38be251aec	1	1	GotPsi	p49034	0.00	1.00	1.00	NULL	1.00	0.00	0.00	5.00	2.00	4.00	3.00	2.00	4.00	2.00	4.00	4.00	Open,Brown,Space,,	26	0	0.32	1	2023-05-03 20:47:44	2023-05-03 20:47:44	2023-05-03 20:47:44
5	1f455fc030	1	1	GotPsi	400099	0.00	1.00	0.00	NULL	1.00	0.00	0.00	1.00	1.00	4.00	2.00	1.00	4.00	5.00	2.00	5.00	sun,field,hills,green,sky	117	0	-1.69	1	2023-05-04 09:11:24	2023-05-04 09:11:24	2023-05-04 09:11:24
6	1f455fc030	1	1	GotPsi	p170010	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	5.00	2.00	2.00	1.00	4.00	4.00	5.00	5.00	woman,dance,dress,festival,colors	95	0	-0.52	1	2023-05-04 09:13:16	2023-05-04 09:13:16	2023-05-04 09:13:16
7	6fd33b7588	1	1	GotPsi	p7021	0.00	1.00	1.00	NULL	1.00	0.00	1.00	2.00	1.00	1.00	1.00	1.00	2.00	4.00	1.00	5.00	round,circular,disk,building,sky	106	0	-2.09	1	2023-05-05 01:24:47	2023-05-05 01:24:47	2023-05-05 01:24:47
8	6fd33b7588	1	1	GotPsi	p1043	1.00	0.00	0.00	NULL	0.00	0.00	0.00	3.00	5.00	5.00	2.00	2.00	3.00	3.00	4.00	4.00	orange,purple,crowd,race,road	141	0	-0.25	1	2023-05-05 01:27:39	2023-05-05 01:27:39	2023-05-05 01:27:39
9	7d2fc7d93b	4	1	GotPsi	p96025	0.00	1.00	0.00	NULL	1.00	0.00	1.00	2.00	2.00	2.00	1.00	1.00	1.00	4.00	4.00	5.00	lake,sky,cloud,,	109	0	-0.05	1	2023-05-09 03:27:20	2023-05-09 03:27:20	2023-05-09 03:27:20
10	7d2fc7d93b	4	1	GotPsi	ph02926j	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00	2.00	1.00	1.00	1.00	food,pastry,cake,,	58	0	0.63	1	2023-05-09 03:28:30	2023-05-09 03:28:30	2023-05-09 03:28:30
