id	userid	odds	hits	z	trials	created_at	updated_at
1	bf0acaa2bf	1.7001358506854	5	0.56	20	2023-04-25 03:18:16	2023-04-25 03:18:16
2	38be251aec	0.25958023968945	3	-0.56	20	2023-05-03 19:54:07	2023-05-03 19:54:07
3	1f455fc030	1.7001358506854	5	0.56	20	2023-05-04 09:04:36	2023-05-04 09:04:36
4	1f455fc030	1.7001358506854	5	0.56	20	2023-05-04 09:06:50	2023-05-04 09:06:50
5	1f455fc030	0.25958023968945	3	-0.56	20	2023-05-04 09:26:08	2023-05-04 09:26:08
6	6fd33b7588	0.074316130151886	2	-1.12	20	2023-05-05 01:22:08	2023-05-05 01:22:08
7	6fd33b7588	0.1	7	1.68	20	2023-05-05 02:13:11	2023-05-05 02:13:11
8	6fd33b7588	0.6990877008995	4	0.00	20	2023-05-08 20:31:22	2023-05-08 20:31:22
9	7d2fc7d93b	0.25958023968945	3	-0.56	20	2023-05-09 03:24:53	2023-05-09 03:24:53
10	476599a230	0.25958023968945	3	-0.56	20	2023-05-13 03:10:41	2023-05-13 03:10:41
11	2e46b02c1c	1.7001358506854	5	0.56	20	2023-05-13 04:57:52	2023-05-13 04:57:52
12	fbf3589622	0.1	8	2.24	20	2023-05-13 05:01:42	2023-05-13 05:01:42
13	5b84771544	0.6990877008995	4	0.00	20	2023-05-13 06:49:31	2023-05-13 06:49:31
14	5b84771544	0.074316130151886	2	-1.12	20	2023-05-13 07:17:58	2023-05-13 07:17:58
15	5b84771544	1.7001358506854	5	0.56	20	2023-05-13 07:20:45	2023-05-13 07:20:45
16	3e86ab4470	0.25958023968945	3	-0.56	20	2023-05-13 12:57:51	2023-05-13 12:57:51
17	cfa64fd443	4.1074553824682	6	1.12	20	2023-05-13 14:39:02	2023-05-13 14:39:02
18	551ffb1b22	0.074316130151886	2	-1.12	20	2023-05-13 15:17:39	2023-05-13 15:17:39
19	551ffb1b22	1.7001358506854	5	0.56	20	2023-05-13 15:45:19	2023-05-13 15:45:19
20	551ffb1b22	0.6990877008995	4	0.00	20	2023-05-13 15:52:31	2023-05-13 15:52:31
21	551ffb1b22	0.6990877008995	4	0.00	20	2023-05-13 16:04:56	2023-05-13 16:04:56
22	891172471b	0.1	7	1.68	20	2023-05-13 20:35:56	2023-05-13 20:35:56
23	0784015328	0.074316130151886	2	-1.12	20	2023-05-13 20:41:03	2023-05-13 20:41:03
24	891172471b	4.1074553824682	6	1.12	20	2023-05-13 23:55:40	2023-05-13 23:55:40
25	eb1f2db343	0.1	7	1.68	20	2023-05-14 00:50:53	2023-05-14 00:50:53
26	551ffb1b22	0.6990877008995	4	0.00	20	2023-05-14 14:29:19	2023-05-14 14:29:19
27	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-14 15:41:34	2023-05-14 15:41:34
28	52946e67cb	1.7001358506854	5	0.56	20	2023-05-14 16:33:36	2023-05-14 16:33:36
29	52946e67cb	0.1	8	2.24	20	2023-05-14 16:47:24	2023-05-14 16:47:24
30	891172471b	0.6990877008995	4	0.00	20	2023-05-14 18:33:26	2023-05-14 18:33:26
31	891172471b	0.074316130151886	2	-1.12	20	2023-05-14 18:37:58	2023-05-14 18:37:58
32	891172471b	0.074316130151886	2	-1.12	20	2023-05-14 18:48:40	2023-05-14 18:48:40
33	c747db03a2	0.1	7	1.68	20	2023-05-14 20:34:31	2023-05-14 20:34:31
34	52946e67cb	4.1074553824682	6	1.12	20	2023-05-15 10:21:02	2023-05-15 10:21:02
35	52946e67cb	0.6990877008995	4	0.00	20	2023-05-15 10:25:55	2023-05-15 10:25:55
36	52946e67cb	0.25958023968945	3	-0.56	20	2023-05-15 10:29:04	2023-05-15 10:29:04
37	52946e67cb	4.1074553824682	6	1.12	20	2023-05-15 10:31:49	2023-05-15 10:31:49
38	52946e67cb	0.6990877008995	4	0.00	20	2023-05-15 10:34:41	2023-05-15 10:34:41
39	52946e67cb	0.1	7	1.68	20	2023-05-15 10:38:34	2023-05-15 10:38:34
40	52946e67cb	0.1	7	1.68	20	2023-05-15 10:42:23	2023-05-15 10:42:23
41	52946e67cb	0.074316130151886	2	-1.12	20	2023-05-15 10:45:27	2023-05-15 10:45:27
42	52946e67cb	0.25958023968945	3	-0.56	20	2023-05-15 10:48:41	2023-05-15 10:48:41
43	52946e67cb	0.25958023968945	3	-0.56	20	2023-05-15 10:52:28	2023-05-15 10:52:28
44	95842a1959	0.6990877008995	4	0.00	20	2023-05-15 20:07:28	2023-05-15 20:07:28
45	891172471b	0.074316130151886	2	-1.12	20	2023-05-15 23:56:57	2023-05-15 23:56:57
46	551ffb1b22	0.25958023968945	3	-0.56	20	2023-05-16 12:40:46	2023-05-16 12:40:46
47	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-16 14:47:08	2023-05-16 14:47:08
48	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-16 14:47:32	2023-05-16 14:47:32
49	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-16 14:48:06	2023-05-16 14:48:06
50	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-16 14:48:33	2023-05-16 14:48:33
51	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-16 14:48:56	2023-05-16 14:48:56
52	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-16 14:54:04	2023-05-16 14:54:04
53	52946e67cb	0.6990877008995	4	0.00	20	2023-05-16 15:58:21	2023-05-16 15:58:21
54	52946e67cb	4.1074553824682	6	1.12	20	2023-05-16 16:01:12	2023-05-16 16:01:12
55	dc8b1e36ff	0.1	8	2.24	20	2023-05-16 17:50:14	2023-05-16 17:50:14
56	283f666c49	0.011663688215737	1	-1.68	20	2023-05-16 19:57:13	2023-05-16 19:57:13
57	22b0d21533	4.1074553824682	6	1.12	20	2023-05-16 20:03:30	2023-05-16 20:03:30
58	891172471b	1.7001358506854	5	0.56	20	2023-05-16 22:48:48	2023-05-16 22:48:48
59	22b0d21533	0.6990877008995	4	0.00	20	2023-05-16 23:21:20	2023-05-16 23:21:20
60	52946e67cb	0.074316130151886	2	-1.12	20	2023-05-17 06:09:52	2023-05-17 06:09:52
61	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 06:12:39	2023-05-17 06:12:39
62	52946e67cb	0.25958023968945	3	-0.56	20	2023-05-17 06:15:31	2023-05-17 06:15:31
63	52946e67cb	0.25958023968945	3	-0.56	20	2023-05-17 06:17:27	2023-05-17 06:17:27
64	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 06:20:28	2023-05-17 06:20:28
65	52946e67cb	0.1	8	2.24	20	2023-05-17 06:23:17	2023-05-17 06:23:17
66	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 06:25:52	2023-05-17 06:25:52
67	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 06:28:21	2023-05-17 06:28:21
68	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 06:31:28	2023-05-17 06:31:28
69	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 06:34:01	2023-05-17 06:34:01
70	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 06:36:43	2023-05-17 06:36:43
71	52946e67cb	4.1074553824682	6	1.12	20	2023-05-17 06:38:57	2023-05-17 06:38:57
72	52946e67cb	0.1	7	1.68	20	2023-05-17 06:41:38	2023-05-17 06:41:38
73	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 06:45:37	2023-05-17 06:45:37
74	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 06:47:56	2023-05-17 06:47:56
75	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 06:50:06	2023-05-17 06:50:06
76	52946e67cb	0.1	7	1.68	20	2023-05-17 06:52:40	2023-05-17 06:52:40
77	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 06:55:13	2023-05-17 06:55:13
78	52946e67cb	4.1074553824682	6	1.12	20	2023-05-17 06:58:01	2023-05-17 06:58:01
79	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 07:00:15	2023-05-17 07:00:15
80	52946e67cb	0.074316130151886	2	-1.12	20	2023-05-17 07:04:16	2023-05-17 07:04:16
81	52946e67cb	0.1	8	2.24	20	2023-05-17 07:07:11	2023-05-17 07:07:11
82	52946e67cb	0.074316130151886	2	-1.12	20	2023-05-17 07:17:10	2023-05-17 07:17:10
83	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 07:19:47	2023-05-17 07:19:47
84	52946e67cb	0.1	7	1.68	20	2023-05-17 07:22:13	2023-05-17 07:22:13
85	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 07:25:06	2023-05-17 07:25:06
86	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 07:28:18	2023-05-17 07:28:18
87	52946e67cb	0.074316130151886	2	-1.12	20	2023-05-17 07:29:59	2023-05-17 07:29:59
88	52946e67cb	0.25958023968945	3	-0.56	20	2023-05-17 07:32:37	2023-05-17 07:32:37
89	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 07:54:32	2023-05-17 07:54:32
90	52946e67cb	0.6990877008995	4	0.00	20	2023-05-17 07:57:57	2023-05-17 07:57:57
91	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 08:00:50	2023-05-17 08:00:50
92	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 08:03:36	2023-05-17 08:03:36
93	52946e67cb	0.011663688215737	1	-1.68	20	2023-05-17 08:05:29	2023-05-17 08:05:29
94	52946e67cb	4.1074553824682	6	1.12	20	2023-05-17 08:07:36	2023-05-17 08:07:36
95	52946e67cb	1.7001358506854	5	0.56	20	2023-05-17 08:09:42	2023-05-17 08:09:42
96	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-17 15:10:19	2023-05-17 15:10:19
97	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-17 15:11:12	2023-05-17 15:11:12
98	fff8c30e58	0.1	8	2.24	20	2023-05-17 15:11:37	2023-05-17 15:11:37
99	283f666c49	0.1	7	1.68	20	2023-05-17 20:49:10	2023-05-17 20:49:10
100	cfa64fd443	0.074316130151885	2	-1.12	20	2023-05-17 21:27:09	2023-05-17 21:27:09
101	00d06796e4	0.6990877008995	4	0.00	20	2023-05-17 22:14:13	2023-05-17 22:14:13
102	1ef651d180	4.1074553824682	6	1.12	20	2023-05-17 22:17:42	2023-05-17 22:17:42
103	2e46b02c1c	4.1074553824682	6	1.12	20	2023-05-18 02:28:35	2023-05-18 02:28:35
104	9d88252a16	1.7001358506854	5	0.56	20	2023-05-18 11:36:07	2023-05-18 11:36:07
105	551ffb1b22	0.074316130151886	2	-1.12	20	2023-05-18 12:53:41	2023-05-18 12:53:41
106	a38c0cc8ce	0.6990877008995	4	0.00	20	2023-05-18 13:13:38	2023-05-18 13:13:38
107	70060b0cc2	4.1074553824682	6	1.12	20	2023-05-18 19:16:10	2023-05-18 19:16:10
108	70060b0cc2	1.7001358506854	5	0.56	20	2023-05-18 19:17:29	2023-05-18 19:17:29
109	1ef651d180	4.1074553824682	6	1.12	20	2023-05-18 19:24:05	2023-05-18 19:24:05
110	70060b0cc2	0.074316130151885	2	-1.12	20	2023-05-18 19:42:48	2023-05-18 19:42:48
111	70060b0cc2	0.25958023968945	3	-0.56	20	2023-05-18 19:43:53	2023-05-18 19:43:53
112	70060b0cc2	0.6990877008995	4	0.00	20	2023-05-18 19:45:41	2023-05-18 19:45:41
113	70060b0cc2	1.7001358506854	5	0.56	20	2023-05-18 21:04:19	2023-05-18 21:04:19
114	70060b0cc2	4.1074553824682	6	1.12	20	2023-05-18 21:06:13	2023-05-18 21:06:13
115	43f861d575	0.6990877008995	4	0.00	20	2023-05-19 03:42:21	2023-05-19 03:42:21
116	70060b0cc2	0.25958023968945	3	-0.56	20	2023-05-19 19:21:28	2023-05-19 19:21:28
117	70060b0cc2	0.6990877008995	4	0.00	20	2023-05-19 19:22:59	2023-05-19 19:22:59
118	70060b0cc2	0.6990877008995	4	0.00	20	2023-05-19 19:24:21	2023-05-19 19:24:21
119	70060b0cc2	0.011663688215736	1	-1.68	20	2023-05-19 19:25:43	2023-05-19 19:25:43
120	70060b0cc2	0.6990877008995	4	0.00	20	2023-05-19 19:27:03	2023-05-19 19:27:03
121	70060b0cc2	4.1074553824682	6	1.12	20	2023-05-19 19:28:04	2023-05-19 19:28:04
122	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-19 22:57:08	2023-05-19 22:57:08
123	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-19 22:57:44	2023-05-19 22:57:44
124	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-19 23:06:40	2023-05-19 23:06:40
125	fff8c30e58	0.1	9	2.80	20	2023-05-19 23:07:38	2023-05-19 23:07:38
126	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-21 14:34:16	2023-05-21 14:34:16
127	fff8c30e58	4.1074553824682	6	1.12	20	2023-05-21 14:34:49	2023-05-21 14:34:49
128	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-22 14:00:06	2023-05-22 14:00:06
129	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-22 14:00:41	2023-05-22 14:00:41
130	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-22 14:01:08	2023-05-22 14:01:08
