id	userid	steps	z	trials	created_at	updated_at
1	bf0acaa2bf	33	-0.21	10	2023-04-25 03:21:33	2023-04-25 03:21:33
2	38be251aec	28	0.14	10	2023-05-03 19:58:44	2023-05-03 19:58:44
3	1f455fc030	31	-0.07	10	2023-05-04 09:19:53	2023-05-04 09:19:53
4	1f455fc030	35	-0.35	10	2023-05-04 09:20:39	2023-05-04 09:20:39
5	6fd33b7588	22	0.57	10	2023-05-05 01:46:53	2023-05-05 01:46:53
6	7d2fc7d93b	39	-0.64	10	2023-05-09 03:32:04	2023-05-09 03:32:04
7	fbf3589622	30	0.00	10	2023-05-13 05:28:57	2023-05-13 05:28:57
8	fbf3589622	31	-0.07	10	2023-05-13 05:31:45	2023-05-13 05:31:45
9	3e86ab4470	30	0.00	10	2023-05-13 13:05:06	2023-05-13 13:05:06
10	cfa64fd443	30	0.00	10	2023-05-13 15:12:23	2023-05-13 15:12:23
11	551ffb1b22	33	-0.21	10	2023-05-13 15:56:40	2023-05-13 15:56:40
12	551ffb1b22	33	-0.21	10	2023-05-13 15:57:30	2023-05-13 15:57:30
13	891172471b	26	0.28	10	2023-05-13 20:56:58	2023-05-13 20:56:58
14	0784015328	25	0.35	10	2023-05-13 21:02:42	2023-05-13 21:02:42
15	33ddebe4c7	34	-0.28	10	2023-05-14 11:04:23	2023-05-14 11:04:23
16	33ddebe4c7	31	-0.07	10	2023-05-14 11:07:12	2023-05-14 11:07:12
17	fff8c30e58	40	-0.71	10	2023-05-14 15:36:47	2023-05-14 15:36:47
18	52946e67cb	26	0.28	10	2023-05-14 16:27:15	2023-05-14 16:27:15
19	52946e67cb	30	0.00	10	2023-05-14 16:52:07	2023-05-14 16:52:07
20	52946e67cb	33	-0.21	10	2023-05-14 16:54:01	2023-05-14 16:54:01
21	52946e67cb	35	-0.35	10	2023-05-14 16:55:44	2023-05-14 16:55:44
22	33ddebe4c7	19	0.78	10	2023-05-14 17:42:10	2023-05-14 17:42:10
23	52946e67cb	25	0.35	10	2023-05-14 18:20:14	2023-05-14 18:20:14
24	52946e67cb	34	-0.28	10	2023-05-14 18:23:54	2023-05-14 18:23:54
25	52946e67cb	26	0.28	10	2023-05-14 18:26:46	2023-05-14 18:26:46
26	52946e67cb	30	0.00	10	2023-05-14 18:30:10	2023-05-14 18:30:10
27	52946e67cb	31	-0.07	10	2023-05-14 18:33:02	2023-05-14 18:33:02
28	52946e67cb	27	0.21	10	2023-05-14 18:35:16	2023-05-14 18:35:16
29	52946e67cb	27	0.21	10	2023-05-15 09:09:35	2023-05-15 09:09:35
30	52946e67cb	30	0.00	10	2023-05-15 09:11:46	2023-05-15 09:11:46
31	891172471b	39	-0.64	10	2023-05-16 00:03:50	2023-05-16 00:03:50
32	fff8c30e58	29	0.07	10	2023-05-16 14:40:24	2023-05-16 14:40:24
33	52946e67cb	37	-0.49	10	2023-05-16 16:35:14	2023-05-16 16:35:14
34	52946e67cb	37	-0.49	10	2023-05-16 16:36:49	2023-05-16 16:36:49
35	52946e67cb	37	-0.49	10	2023-05-16 16:38:29	2023-05-16 16:38:29
36	52946e67cb	35	-0.35	10	2023-05-16 16:40:00	2023-05-16 16:40:00
37	52946e67cb	28	0.14	10	2023-05-16 16:41:25	2023-05-16 16:41:25
38	dc8b1e36ff	29	0.07	10	2023-05-16 17:57:47	2023-05-16 17:57:47
39	283f666c49	29	0.07	10	2023-05-16 21:44:02	2023-05-16 21:44:02
40	52946e67cb	30	0.00	10	2023-05-17 11:38:47	2023-05-17 11:38:47
41	52946e67cb	25	0.35	10	2023-05-17 11:39:51	2023-05-17 11:39:51
42	52946e67cb	31	-0.07	10	2023-05-17 11:40:53	2023-05-17 11:40:53
43	52946e67cb	37	-0.49	10	2023-05-17 11:41:57	2023-05-17 11:41:57
44	52946e67cb	29	0.07	10	2023-05-17 11:42:57	2023-05-17 11:42:57
45	52946e67cb	28	0.14	10	2023-05-17 11:43:48	2023-05-17 11:43:48
46	52946e67cb	35	-0.35	10	2023-05-17 11:44:44	2023-05-17 11:44:44
47	52946e67cb	37	-0.49	10	2023-05-17 11:45:41	2023-05-17 11:45:41
48	52946e67cb	36	-0.42	10	2023-05-17 11:46:49	2023-05-17 11:46:49
49	52946e67cb	30	0.00	10	2023-05-17 11:47:44	2023-05-17 11:47:44
50	52946e67cb	35	-0.35	10	2023-05-17 11:48:42	2023-05-17 11:48:42
51	52946e67cb	33	-0.21	10	2023-05-17 11:49:38	2023-05-17 11:49:38
52	52946e67cb	24	0.42	10	2023-05-17 11:50:22	2023-05-17 11:50:22
53	52946e67cb	28	0.14	10	2023-05-17 11:51:10	2023-05-17 11:51:10
54	52946e67cb	32	-0.14	10	2023-05-17 11:52:01	2023-05-17 11:52:01
55	52946e67cb	36	-0.42	10	2023-05-17 11:52:55	2023-05-17 11:52:55
56	52946e67cb	23	0.49	10	2023-05-17 11:53:36	2023-05-17 11:53:36
57	52946e67cb	27	0.21	10	2023-05-17 11:54:26	2023-05-17 11:54:26
58	52946e67cb	29	0.07	10	2023-05-17 11:55:16	2023-05-17 11:55:16
59	52946e67cb	28	0.14	10	2023-05-17 11:56:06	2023-05-17 11:56:06
60	52946e67cb	28	0.14	10	2023-05-17 11:56:52	2023-05-17 11:56:52
61	52946e67cb	30	0.00	10	2023-05-17 11:57:42	2023-05-17 11:57:42
62	52946e67cb	28	0.14	10	2023-05-17 11:58:29	2023-05-17 11:58:29
63	52946e67cb	25	0.35	10	2023-05-17 11:59:12	2023-05-17 11:59:12
64	52946e67cb	31	-0.07	10	2023-05-17 12:00:05	2023-05-17 12:00:05
65	52946e67cb	29	0.07	10	2023-05-17 12:00:58	2023-05-17 12:00:58
66	52946e67cb	28	0.14	10	2023-05-17 12:01:47	2023-05-17 12:01:47
67	52946e67cb	23	0.49	10	2023-05-17 12:02:28	2023-05-17 12:02:28
68	52946e67cb	31	-0.07	10	2023-05-17 12:03:18	2023-05-17 12:03:18
69	52946e67cb	31	-0.07	10	2023-05-17 12:04:09	2023-05-17 12:04:09
70	52946e67cb	29	0.07	10	2023-05-17 12:04:56	2023-05-17 12:04:56
71	52946e67cb	25	0.35	10	2023-05-17 12:05:40	2023-05-17 12:05:40
72	52946e67cb	37	-0.49	10	2023-05-17 12:06:37	2023-05-17 12:06:37
73	52946e67cb	32	-0.14	10	2023-05-17 12:07:26	2023-05-17 12:07:26
74	fff8c30e58	23	0.49	10	2023-05-17 14:59:51	2023-05-17 14:59:51
75	cfa64fd443	25	0.35	10	2023-05-17 21:49:58	2023-05-17 21:49:58
76	1ef651d180	22	0.57	10	2023-05-18 02:47:13	2023-05-18 02:47:13
77	2e46b02c1c	32	-0.14	10	2023-05-18 02:52:27	2023-05-18 02:52:27
78	52946e67cb	37	-0.49	10	2023-05-18 08:45:00	2023-05-18 08:45:00
79	52946e67cb	35	-0.35	10	2023-05-18 08:47:13	2023-05-18 08:47:13
80	52946e67cb	32	-0.14	10	2023-05-18 08:48:48	2023-05-18 08:48:48
81	52946e67cb	25	0.35	10	2023-05-18 08:50:24	2023-05-18 08:50:24
82	52946e67cb	25	0.35	10	2023-05-18 08:51:58	2023-05-18 08:51:58
83	52946e67cb	24	0.42	10	2023-05-18 08:53:30	2023-05-18 08:53:30
84	52946e67cb	30	0.00	10	2023-05-18 08:55:10	2023-05-18 08:55:10
85	52946e67cb	31	-0.07	10	2023-05-18 08:56:21	2023-05-18 08:56:21
