id	userid	game_name	z	score	skill	trials	level	created_at	updated_at
1	bf0acaa2bf	remote_viewing	0.56	39.17	2.61	20	2	2023-04-25 03:18:16	2023-04-25 03:18:16
2	bf0acaa2bf	long_remote_viewing	-1.89	5.28	0.35	2	2	2023-04-25 03:18:55	2023-04-25 03:18:55
3	bf0acaa2bf	location	0.19	30.79	2.05	20	2	2023-04-25 03:19:51	2023-04-25 03:19:51
4	bf0acaa2bf	bubbles	0.84	46.01	3.07	1	2	2023-04-25 03:20:44	2023-04-25 03:20:44
5	bf0acaa2bf	card	0.00	26.89	1.79	10	2	2023-04-25 03:21:02	2023-04-25 03:21:02
6	bf0acaa2bf	sequential_card	-0.21	22.97	1.53	10	2	2023-04-25 03:21:33	2023-04-25 03:21:33
7	bf0acaa2bf	card_draw	-1.41	8.24	0.55	10	2	2023-04-25 03:22:10	2023-04-25 03:22:10
8	bf0acaa2bf	lottery	0.14	29.73	1.98	1	2	2023-04-25 03:22:26	2023-04-25 03:22:26
9	9516e40893	remote_viewing	0.00	0.00	0.00	0	1	NULL	NULL
10	9516e40893	long_remote_viewing	0.00	0.00	0.00	0	1	NULL	NULL
11	9516e40893	location	0.00	0.00	0.00	0	1	NULL	NULL
12	9516e40893	bubbles	0.00	0.00	0.00	0	1	NULL	NULL
13	9516e40893	card	0.00	0.00	0.00	0	1	NULL	NULL
14	9516e40893	sequential_card	0.00	0.00	0.00	0	1	NULL	NULL
15	9516e40893	card_draw	0.00	0.00	0.00	0	1	NULL	NULL
16	9516e40893	lottery	0.00	0.00	0.00	0	1	NULL	NULL
17	7d2fc7d93b	remote_viewing	-0.56	17.36	1.16	20	2	2023-05-09 03:24:53	2023-05-09 03:24:53
18	7d2fc7d93b	long_remote_viewing	0.41	35.67	2.38	2	2	2023-05-09 03:28:30	2023-05-09 03:28:30
19	7d2fc7d93b	location	1.75	67.92	4.53	20	2	2023-05-09 03:35:22	2023-05-09 03:35:22
20	7d2fc7d93b	bubbles	-0.39	19.94	1.33	1	2	2023-05-09 03:21:44	2023-05-09 03:21:44
21	7d2fc7d93b	card	-0.79	14.31	0.95	10	2	2023-05-09 03:30:10	2023-05-09 03:30:10
22	7d2fc7d93b	sequential_card	-0.64	16.25	1.08	10	2	2023-05-09 03:32:04	2023-05-09 03:32:04
23	7d2fc7d93b	card_draw	-1.13	10.62	0.71	10	2	2023-05-09 03:33:50	2023-05-09 03:33:50
