userid	stoufferz	remote_viewing	long_remote_viewing	location	bubbles	card	sequential_card	card_draw	lottery
"'70060b0cc2',"	2.1	1.1	-0.1	2.4	-0.5	0.8	1.3	0.6	2.5
"'852c40a4c1',"	2	2.2	1.3	0.8	2.2	-0.8	-0.4	0	0.1
"'77c18aa0ae',"	1.9	0	0.9	2.8	0.2	0.8	0.4	0	0.1
"'03bbe154e3',"	1.7	2.2	0.8	2	1	0	0.4	-2	1.4
"'b68f6fe9a2',"	1.3	1.1	-0.8	3	0.9	0	0.9	-1.7	-6.4
"'73edb425b7',"	1.1	1.1	-1.4	2.7	-0.9	0	1.3	0	0.1
"'2d87584287',"	1	1.7	0.4	1.1	-0.5	0.8	-0.4	-0.6	1.4
"'54e9c8b08d',"	0.9	2.2	2	-1.6	-0.6	0.8	0.7	-1.1	-6.4
"'a59b028548',"	0.9	0.6	-0.3	2.6	-0.1	-0.8	0.7	-0.3	1.4
"'52946e67cb',"	0.8	0.6	-0.5	1.1	0.8	0	0.9	-0.6	0.1
"'bd86b078cc',"	0.8	0.6	1.2	0.5	0.3	1.6	-2	0	0.1
"'7d83126d79',"	0.7	0	0.1	1.7	1.8	0	-0.7	-1.1	0.1
"'cfa64fd443',"	0.7	1.1	-0.3	1.5	-0.8	0.8	0	-0.6	1.4
"'945e8bb049',"	0.7	2.2	1.4	0.1	0.8	0	-0.2	-2.5	1.4
"'62b3e910b4',"	0.7	1.7	-0.4	0.5	0.1	0	0.4	-0.6	0.1
"'07d6265486',"	0.5	0	0.4	-0.3	0.4	0.8	0.4	-0.3	-6.4
"'3e86ab4470',"	0.5	-0.6	0.1	1.3	2.1	0	0	-1.7	-6.4
"'fbf3589622',"	0.5	2.2	-1.1	0.8	0.5	0.8	0	-2	0.1
"'c7391ec6fe',"	0.4	1.1	-0.9	1.7	-0.8	-0.8	1.3	-0.6	-6.4
"'d40dfacc09',"	0.4	-1.1	0.2	0.1	1.1	0.8	0.9	-0.8	-6.4
"0784015328',"	0.4	-1.1	0.2	0.6	0.8	0	1.1	-0.6	-6.4
"'37b1202ffb',"	0.3	0	0.5	0.6	2.2	-0.8	-0.4	-1.1	0.1
"'a5311eec87',"	0.3	1.1	0.4	-0.1	0.6	0	0.4	-1.7	1.4
"'53b90b6e5f',"	0.3	0	-0.6	0.8	1.2	-0.8	1.8	-1.7	0.1
"'ff55040f59',"	0.2	1.7	-0.1	0.1	1.2	-0.8	0.4	-2	0.1
"'2446d585aa',"	0.1	-1.7	0.1	1.5	-0.1	0.8	0.9	-1.1	0.1
"'1ef651d180',"	0.1	1.1	-0.9	0.6	0.5	-1.6	1.8	-1.1	-6.4
"'59b5d6e957',"	0.1	0.6	-0.3	2.2	1.9	0	-0.9	-3.1	-6.4
"'82d9256209',"	0.1	-1.1	-0.1	0.8	0.4	0.8	0.2	-0.8	2.5
"'3036d30a05',"	0	0	1.5	2.4	0.9	0	-2.5	-2.3	0.1
"'dc8b1e36ff',"	-0.1	2.2	-0.4	0.1	0.2	0	0.2	-2.5	-6.4
"'2e46b02c1c',"	-0.2	0.6	-0.7	1.1	0.1	0.8	-0.4	-2	-6.4
"'8cc2bc8742',"	-0.3	0.6	-0.7	-0.1	-0.6	0.8	-0.4	-0.3	-6.4
"'ff92c2f177',"	-0.5	0.6	-1.2	-1.3	0.7	0	0.9	-0.8	-6.4
"'6fd33b7588',"	-0.6	-1.1	-1.7	-0.1	0.7	0	1.8	-1.1	0.1
"'bda1283c07',"	-0.6	0	0.1	0.1	-0.9	0	0	-0.8	-6.4
"'bdccdd5b23',"	-0.7	0	-1.5	1.2	-1.1	0	0.2	-0.6	0.1
"'891172471b',"	-0.7	1.7	0.6	-1.1	-1.4	-0.8	0.9	-1.7	0.1
"'283f666c49',"	-0.8	-1.7	0	1	-0.7	1.6	0.2	-2.5	-6.4
"'551ffb1b22',"	-0.9	-1.1	-0.9	1.1	0.9	-0.8	-0.7	-0.8	1.4
"'51f5819377',"	-0.9	-0.6	-1.8	1.4	-1.4	0.8	-0.7	0	0.1
"'fff8c30e58',"	-0.9	0.6	-0.5	2.3	1.1	-1.6	-2.2	-2	-6.4
"'8d382113e6',"	-0.9	0.6	-1.6	1.5	0.1	-0.8	-0.4	-1.7	-6.4
"'bf0acaa2bf',"	-0.9	0.6	-1.9	0.2	0.8	0	-0.7	-1.4	0.1
"'9eb0d040ef',"	-0.9	0	-1	0.6	-0.4	-0.8	0.2	-1.1	-6.4
"'1f455fc030',"	-1	0.6	-1.6	0.1	-0.5	-0.8	-0.2	-0.3	0.1
"'7d2fc7d93b',"	-1	-0.6	0.4	1.8	-0.4	-0.8	-2	-1.1	0.1
"'76b0cf44d8',"	-1	-1.1	1.1	0.5	-1.9	0	-1.1	-0.3	-6.4
"'20c6cf9b66',"	-1.1	0.6	-0.5	-1.2	0	0.8	-1.5	-1.1	1.4
"'8f75ebcd08',"	-1.2	0	-0.3	1.2	-0.1	0	-1.1	-2.8	-6.4
